,sentiment
0,positive
1,positive
2,positive
3,negative
4,positive
5,positive
6,positive
7,negative
8,negative
9,positive
10,negative
11,negative
12,negative
13,negative
14,positive
15,negative
16,positive
17,negative
18,positive
19,negative
20,positive
21,negative
22,positive
23,negative
24,negative
25,positive
26,positive
27,negative
28,negative
29,positive
30,positive
31,positive
32,negative
33,positive
34,negative
35,negative
36,negative
37,negative
38,positive
39,negative
40,negative
41,positive
42,negative
43,negative
44,positive
45,positive
46,negative
47,negative
48,positive
49,negative
50,positive
51,positive
52,positive
53,positive
54,negative
55,negative
56,negative
57,negative
58,positive
59,positive
60,negative
61,negative
62,positive
63,negative
64,negative
65,positive
66,negative
67,negative
68,negative
69,negative
70,negative
71,negative
72,positive
73,positive
74,negative
75,positive
76,positive
77,negative
78,negative
79,positive
80,positive
81,negative
82,negative
83,negative
84,negative
85,negative
86,negative
87,negative
88,negative
89,negative
90,positive
91,negative
92,positive
93,positive
94,negative
95,positive
96,negative
97,negative
98,negative
99,positive
100,positive
101,negative
102,positive
103,positive
104,negative
105,positive
106,positive
107,negative
108,positive
109,positive
110,negative
111,negative
112,negative
113,positive
114,positive
115,positive
116,positive
117,negative
118,negative
119,negative
120,positive
121,positive
122,negative
123,negative
124,positive
125,negative
126,negative
127,negative
128,positive
129,positive
130,positive
131,positive
132,negative
133,negative
134,negative
135,negative
136,positive
137,negative
138,positive
139,negative
140,negative
141,negative
142,negative
143,positive
144,negative
145,positive
146,positive
147,positive
148,negative
149,negative
150,positive
151,negative
152,negative
153,positive
154,negative
155,negative
156,negative
157,positive
158,negative
159,positive
160,positive
161,negative
162,negative
163,negative
164,positive
165,negative
166,positive
167,negative
168,negative
169,negative
170,negative
171,negative
172,positive
173,positive
174,negative
175,negative
176,positive
177,negative
178,positive
179,negative
180,positive
181,negative
182,negative
183,negative
184,negative
185,negative
186,positive
187,negative
188,positive
189,negative
190,positive
191,positive
192,positive
193,positive
194,negative
195,negative
196,negative
197,negative
198,positive
199,negative
200,negative
201,positive
202,positive
203,positive
204,negative
205,positive
206,negative
207,negative
208,positive
209,positive
210,negative
211,negative
212,negative
213,positive
214,negative
215,positive
216,positive
217,negative
218,positive
219,negative
220,negative
221,positive
222,positive
223,negative
224,positive
225,negative
226,positive
227,positive
228,positive
229,positive
230,negative
231,positive
232,positive
233,positive
234,positive
235,positive
236,positive
237,negative
238,positive
239,negative
240,negative
241,positive
242,negative
243,positive
244,negative
245,positive
246,negative
247,negative
248,positive
249,negative
250,negative
251,negative
252,negative
253,negative
254,positive
255,negative
256,negative
257,negative
258,positive
259,positive
260,positive
261,negative
262,negative
263,negative
264,negative
265,positive
266,negative
267,negative
268,negative
269,positive
270,negative
271,positive
272,positive
273,positive
274,negative
275,positive
276,negative
277,positive
278,negative
279,positive
280,positive
281,negative
282,negative
283,negative
284,positive
285,negative
286,positive
287,positive
288,positive
289,positive
290,positive
291,positive
292,positive
293,positive
294,positive
295,negative
296,negative
297,positive
298,positive
299,positive
300,negative
301,negative
302,positive
303,positive
304,positive
305,positive
306,positive
307,negative
308,negative
309,negative
310,positive
311,negative
312,negative
313,negative
314,negative
315,negative
316,positive
317,positive
318,positive
319,negative
320,positive
321,positive
322,negative
323,positive
324,negative
325,positive
326,positive
327,negative
328,positive
329,positive
330,negative
331,positive
332,positive
333,positive
334,positive
335,negative
336,positive
337,positive
338,negative
339,negative
340,negative
341,positive
342,negative
343,positive
344,negative
345,negative
346,negative
347,positive
348,negative
349,negative
350,positive
351,negative
352,negative
353,positive
354,negative
355,negative
356,positive
357,negative
358,negative
359,negative
360,positive
361,negative
362,positive
363,positive
364,positive
365,negative
366,negative
367,negative
368,positive
369,positive
370,positive
371,positive
372,negative
373,positive
374,positive
375,negative
376,positive
377,negative
378,positive
379,negative
380,negative
381,positive
382,positive
383,negative
384,negative
385,negative
386,negative
387,positive
388,positive
389,positive
390,positive
391,negative
392,positive
393,positive
394,positive
395,negative
396,negative
397,positive
398,negative
399,positive
400,positive
401,negative
402,negative
403,positive
404,positive
405,negative
406,positive
407,positive
408,negative
409,positive
410,negative
411,positive
412,negative
413,negative
414,negative
415,negative
416,negative
417,positive
418,negative
419,negative
420,negative
421,negative
422,negative
423,positive
424,negative
425,positive
426,positive
427,positive
428,negative
429,positive
430,negative
431,negative
432,negative
433,positive
434,negative
435,positive
436,positive
437,positive
438,positive
439,positive
440,negative
441,positive
442,negative
443,negative
444,negative
445,negative
446,negative
447,positive
448,negative
449,negative
450,positive
451,positive
452,negative
453,positive
454,positive
455,positive
456,negative
457,positive
458,negative
459,negative
460,positive
461,positive
462,negative
463,negative
464,negative
465,positive
466,positive
467,positive
468,negative
469,positive
470,negative
471,negative
472,negative
473,negative
474,positive
475,positive
476,positive
477,negative
478,negative
479,positive
480,negative
481,positive
482,negative
483,positive
484,positive
485,negative
486,negative
487,positive
488,positive
489,negative
490,negative
491,positive
492,positive
493,positive
494,positive
495,negative
496,negative
497,negative
498,negative
499,positive
500,negative
501,positive
502,positive
503,negative
504,positive
505,positive
506,negative
507,positive
508,negative
509,positive
510,negative
511,negative
512,negative
513,negative
514,negative
515,positive
516,negative
517,positive
518,positive
519,negative
520,negative
521,positive
522,positive
523,negative
524,negative
525,negative
526,positive
527,negative
528,positive
529,negative
530,negative
531,positive
532,positive
533,positive
534,positive
535,negative
536,negative
537,negative
538,negative
539,positive
540,positive
541,negative
542,negative
543,negative
544,negative
545,negative
546,negative
547,positive
548,negative
549,positive
550,negative
551,negative
552,positive
553,negative
554,negative
555,negative
556,positive
557,positive
558,positive
559,negative
560,negative
561,negative
562,negative
563,negative
564,positive
565,negative
566,positive
567,positive
568,positive
569,negative
570,positive
571,positive
572,positive
573,negative
574,negative
575,negative
576,negative
577,negative
578,negative
579,positive
580,positive
581,negative
582,positive
583,negative
584,positive
585,positive
586,positive
587,negative
588,negative
589,negative
590,positive
591,negative
592,positive
593,positive
594,positive
595,positive
596,negative
597,positive
598,positive
599,negative
600,positive
601,positive
602,positive
603,negative
604,negative
605,positive
606,positive
607,positive
608,positive
609,positive
610,negative
611,positive
612,negative
613,negative
614,positive
615,negative
616,positive
617,negative
618,positive
619,negative
620,positive
621,positive
622,positive
623,negative
624,positive
625,negative
626,positive
627,negative
628,positive
629,positive
630,negative
631,positive
632,positive
633,positive
634,positive
635,negative
636,negative
637,negative
638,positive
639,positive
640,negative
641,positive
642,negative
643,positive
644,negative
645,positive
646,negative
647,positive
648,positive
649,negative
650,positive
651,negative
652,negative
653,positive
654,negative
655,negative
656,positive
657,positive
658,positive
659,negative
660,negative
661,positive
662,positive
663,positive
664,positive
665,negative
666,positive
667,positive
668,negative
669,positive
670,positive
671,negative
672,negative
673,negative
674,negative
675,negative
676,positive
677,positive
678,negative
679,negative
680,positive
681,negative
682,positive
683,positive
684,negative
685,negative
686,positive
687,negative
688,negative
689,positive
690,positive
691,negative
692,negative
693,positive
694,positive
695,negative
696,positive
697,positive
698,positive
699,negative
700,negative
701,positive
702,negative
703,positive
704,positive
705,negative
706,positive
707,positive
708,negative
709,negative
710,positive
711,positive
712,positive
713,positive
714,positive
715,negative
716,negative
717,negative
718,negative
719,negative
720,negative
721,negative
722,positive
723,positive
724,positive
725,negative
726,positive
727,positive
728,positive
729,negative
730,positive
731,negative
732,positive
733,positive
734,positive
735,positive
736,negative
737,positive
738,negative
739,positive
740,negative
741,positive
742,negative
743,positive
744,negative
745,positive
746,positive
747,positive
748,negative
749,positive
750,positive
751,negative
752,negative
753,negative
754,negative
755,positive
756,negative
757,negative
758,negative
759,positive
760,positive
761,negative
762,positive
763,negative
764,positive
765,negative
766,negative
767,negative
768,negative
769,negative
770,negative
771,negative
772,positive
773,positive
774,negative
775,positive
776,negative
777,negative
778,positive
779,negative
780,positive
781,positive
782,positive
783,negative
784,negative
785,negative
786,positive
787,positive
788,negative
789,positive
790,positive
791,negative
792,positive
793,positive
794,negative
795,positive
796,positive
797,positive
798,negative
799,positive
800,positive
801,positive
802,positive
803,positive
804,positive
805,negative
806,positive
807,positive
808,positive
809,negative
810,negative
811,positive
812,positive
813,positive
814,positive
815,negative
816,positive
817,positive
818,positive
819,negative
820,positive
821,positive
822,positive
823,positive
824,negative
825,positive
826,positive
827,negative
828,negative
829,negative
830,negative
831,positive
832,positive
833,negative
834,negative
835,positive
836,negative
837,positive
838,positive
839,positive
840,positive
841,negative
842,positive
843,negative
844,positive
845,negative
846,positive
847,negative
848,negative
849,positive
850,positive
851,negative
852,positive
853,positive
854,negative
855,positive
856,positive
857,negative
858,positive
859,negative
860,positive
861,negative
862,negative
863,positive
864,positive
865,negative
866,positive
867,positive
868,negative
869,positive
870,negative
871,positive
872,positive
873,positive
874,positive
875,negative
876,positive
877,negative
878,negative
879,negative
880,negative
881,negative
882,negative
883,negative
884,positive
885,negative
886,negative
887,positive
888,positive
889,positive
890,positive
891,positive
892,positive
893,negative
894,positive
895,positive
896,positive
897,positive
898,negative
899,negative
900,positive
901,negative
902,negative
903,negative
904,negative
905,negative
906,positive
907,positive
908,positive
909,positive
910,positive
911,positive
912,negative
913,negative
914,negative
915,positive
916,negative
917,positive
918,positive
919,positive
920,positive
921,negative
922,negative
923,positive
924,negative
925,positive
926,negative
927,negative
928,positive
929,positive
930,positive
931,positive
932,negative
933,negative
934,negative
935,positive
936,negative
937,negative
938,negative
939,positive
940,negative
941,positive
942,negative
943,positive
944,positive
945,negative
946,positive
947,positive
948,positive
949,positive
950,positive
951,positive
952,positive
953,positive
954,positive
955,positive
956,negative
957,positive
958,negative
959,negative
960,positive
961,positive
962,positive
963,positive
964,positive
965,negative
966,negative
967,positive
968,positive
969,negative
970,negative
971,negative
972,positive
973,negative
974,negative
975,negative
976,negative
977,negative
978,negative
979,positive
980,negative
981,negative
982,negative
983,negative
984,positive
985,positive
986,positive
987,positive
988,positive
989,negative
990,negative
991,negative
992,positive
993,negative
994,positive
995,positive
996,negative
997,negative
998,negative
999,negative
1000,negative
1001,negative
1002,negative
1003,positive
1004,positive
1005,negative
1006,negative
1007,positive
1008,positive
1009,positive
1010,positive
1011,positive
1012,negative
1013,negative
1014,positive
1015,positive
1016,positive
1017,negative
1018,positive
1019,negative
1020,negative
1021,positive
1022,negative
1023,positive
1024,negative
1025,negative
1026,positive
1027,negative
1028,negative
1029,positive
1030,negative
1031,negative
1032,negative
1033,negative
1034,negative
1035,negative
1036,positive
1037,positive
1038,positive
1039,positive
1040,positive
1041,positive
1042,positive
1043,negative
1044,positive
1045,positive
1046,positive
1047,positive
1048,positive
1049,positive
1050,negative
1051,negative
1052,positive
1053,positive
1054,positive
1055,positive
1056,positive
1057,negative
1058,negative
1059,negative
1060,negative
1061,positive
1062,negative
1063,negative
1064,negative
1065,negative
1066,positive
1067,positive
1068,negative
1069,positive
1070,negative
1071,negative
1072,positive
1073,negative
1074,negative
1075,negative
1076,positive
1077,negative
1078,positive
1079,negative
1080,positive
1081,positive
1082,negative
1083,negative
1084,positive
1085,positive
1086,positive
1087,positive
1088,negative
1089,negative
1090,positive
1091,negative
1092,negative
1093,negative
1094,positive
1095,negative
1096,negative
1097,negative
1098,positive
1099,negative
1100,positive
1101,negative
1102,negative
1103,negative
1104,negative
1105,positive
1106,positive
1107,positive
1108,negative
1109,positive
1110,positive
1111,positive
1112,negative
1113,positive
1114,negative
1115,negative
1116,negative
1117,negative
1118,positive
1119,negative
1120,negative
1121,negative
1122,positive
1123,negative
1124,positive
1125,positive
1126,positive
1127,positive
1128,negative
1129,negative
1130,negative
1131,positive
1132,negative
1133,positive
1134,positive
1135,positive
1136,negative
1137,positive
1138,positive
1139,positive
1140,negative
1141,positive
1142,negative
1143,positive
1144,positive
1145,positive
1146,positive
1147,positive
1148,positive
1149,negative
1150,positive
1151,positive
1152,positive
1153,positive
1154,positive
1155,negative
1156,positive
1157,negative
1158,positive
1159,positive
1160,positive
1161,positive
1162,negative
1163,positive
1164,positive
1165,positive
1166,positive
1167,negative
1168,positive
1169,positive
1170,positive
1171,positive
1172,positive
1173,negative
1174,positive
1175,positive
1176,negative
1177,negative
1178,positive
1179,negative
1180,negative
1181,positive
1182,positive
1183,positive
1184,negative
1185,positive
1186,negative
1187,negative
1188,positive
1189,negative
1190,negative
1191,positive
1192,negative
1193,negative
1194,positive
1195,negative
1196,positive
1197,positive
1198,positive
1199,negative
1200,negative
1201,positive
1202,negative
1203,positive
1204,negative
1205,positive
1206,negative
1207,positive
1208,negative
1209,positive
1210,negative
1211,positive
1212,negative
1213,positive
1214,positive
1215,negative
1216,negative
1217,positive
1218,positive
1219,negative
1220,negative
1221,negative
1222,negative
1223,positive
1224,negative
1225,negative
1226,positive
1227,negative
1228,positive
1229,positive
1230,positive
1231,positive
1232,negative
1233,positive
1234,positive
1235,negative
1236,negative
1237,positive
1238,negative
1239,negative
1240,negative
1241,positive
1242,negative
1243,negative
1244,negative
1245,negative
1246,positive
1247,negative
1248,positive
1249,positive
1250,negative
1251,negative
1252,positive
1253,positive
1254,negative
1255,negative
1256,negative
1257,positive
1258,negative
1259,negative
1260,positive
1261,negative
1262,negative
1263,positive
1264,positive
1265,positive
1266,positive
1267,positive
1268,negative
1269,positive
1270,positive
1271,positive
1272,positive
1273,negative
1274,negative
1275,positive
1276,positive
1277,negative
1278,negative
1279,negative
1280,positive
1281,positive
1282,negative
1283,negative
1284,negative
1285,negative
1286,positive
1287,negative
1288,positive
1289,negative
1290,negative
1291,positive
1292,negative
1293,positive
1294,positive
1295,negative
1296,negative
1297,negative
1298,negative
1299,positive
1300,positive
1301,positive
1302,positive
1303,negative
1304,positive
1305,positive
1306,positive
1307,positive
1308,negative
1309,positive
1310,positive
1311,negative
1312,positive
1313,negative
1314,negative
1315,negative
1316,positive
1317,positive
1318,negative
1319,negative
1320,negative
1321,positive
1322,negative
1323,positive
1324,positive
1325,positive
1326,negative
1327,negative
1328,positive
1329,positive
1330,negative
1331,negative
1332,negative
1333,positive
1334,positive
1335,positive
1336,negative
1337,negative
1338,negative
1339,positive
1340,negative
1341,negative
1342,positive
1343,positive
1344,positive
1345,positive
1346,positive
1347,negative
1348,negative
1349,negative
1350,positive
1351,positive
1352,positive
1353,positive
1354,positive
1355,negative
1356,negative
1357,negative
1358,negative
1359,positive
1360,negative
1361,positive
1362,negative
1363,positive
1364,positive
1365,positive
1366,negative
1367,negative
1368,negative
1369,positive
1370,negative
1371,negative
1372,positive
1373,negative
1374,positive
1375,negative
1376,positive
1377,negative
1378,positive
1379,negative
1380,negative
1381,negative
1382,positive
1383,negative
1384,positive
1385,positive
1386,positive
1387,negative
1388,negative
1389,positive
1390,negative
1391,positive
1392,negative
1393,positive
1394,positive
1395,positive
1396,positive
1397,positive
1398,positive
1399,positive
1400,positive
1401,positive
1402,positive
1403,positive
1404,negative
1405,positive
1406,positive
1407,positive
1408,positive
1409,positive
1410,negative
1411,positive
1412,negative
1413,negative
1414,negative
1415,positive
1416,positive
1417,negative
1418,negative
1419,positive
1420,negative
1421,negative
1422,negative
1423,positive
1424,positive
1425,negative
1426,negative
1427,negative
1428,negative
1429,positive
1430,negative
1431,positive
1432,negative
1433,positive
1434,negative
1435,negative
1436,negative
1437,positive
1438,positive
1439,negative
1440,positive
1441,positive
1442,negative
1443,positive
1444,positive
1445,positive
1446,negative
1447,negative
1448,positive
1449,positive
1450,negative
1451,positive
1452,negative
1453,positive
1454,positive
1455,negative
1456,negative
1457,positive
1458,positive
1459,positive
1460,positive
1461,positive
1462,negative
1463,positive
1464,negative
1465,negative
1466,negative
1467,positive
1468,positive
1469,negative
1470,positive
1471,negative
1472,positive
1473,negative
1474,positive
1475,positive
1476,negative
1477,negative
1478,negative
1479,positive
1480,positive
1481,positive
1482,positive
1483,positive
1484,negative
1485,positive
1486,positive
1487,positive
1488,negative
1489,positive
1490,negative
1491,positive
1492,positive
1493,negative
1494,negative
1495,negative
1496,positive
1497,positive
1498,positive
1499,negative
1500,negative
1501,negative
1502,positive
1503,negative
1504,positive
1505,negative
1506,positive
1507,negative
1508,positive
1509,negative
1510,positive
1511,positive
1512,negative
1513,positive
1514,negative
1515,negative
1516,negative
1517,negative
1518,positive
1519,negative
1520,positive
1521,negative
1522,negative
1523,negative
1524,negative
1525,positive
1526,negative
1527,positive
1528,negative
1529,positive
1530,positive
1531,positive
1532,negative
1533,positive
1534,negative
1535,negative
1536,negative
1537,negative
1538,negative
1539,negative
1540,positive
1541,negative
1542,negative
1543,negative
1544,positive
1545,negative
